Branch,Doc_Date,Document_No,LC_Date,LC_Number,Customer_Name,Customer_Invoice No.,Overseas_Bank_Name,Drawee,Curr,Loan_Advance,Net_Amount,Bill_Amount,Amount_Realised,Balance,Bill_Due_Date,Accepted_Due_Date,Payment_Tenor,Goods,Country,Shipping_Bill_No, Shipping_Bill_Date, InvoiceNo, InvoiceDate,GR_PP CUST NO , PortCode, Shipping Bill Currency, Shipping Bill Amount,Customer_AccountNo,Swift,IFSC,Bank_Country,Dispatch_Indicator,Notes
6770001,05/02/2018,BCA/792/177398,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170394/397,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,674403,539522.4,134880.6,02/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2396109,24/01/2018,RES/20170397,,,INSNF6,USD,173152,H10792102367,BSONBDDH,,BD,,,
6770001,05/02/2018,BCA/792/177398,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170394/397,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,674403,539522.4,134880.6,02/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2365804,23/01/2018,RES/20170394,,,INSNF6,USD,501251,H10792102367,BSONBDDH,,BD,,,
6770001,05/02/2018,BCA/792/177400,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170391,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,443584,354867.2,88716.8,02/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2323582,20/01/2018,RES/20170391,,,INSNF6,USD,443584,H10792102367,,,BD,,,
6770001,21/02/2018,BCA/792/177479,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170404/412,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,953612,762889.6,190722.4,19/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2654468,05/02/2018,RES/20170412,,,INSNF6,USD,324708,H10792102367,,,BD,,,
6770001,21/02/2018,BCA/792/177479,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170404/412,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,953612,762889.6,190722.4,19/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2492366,29/01/2018,RES/20170404,,,INSNF6,USD,628904,H10792102367,,,BD,,,
6770001,12/03/2018,BCA/792/177556,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170441TO444,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1992844,1594275.2,398568.8,06/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3145954,27/02/2018,RES/20170441,,,INSNF6,USD,560736,H10792102367,,,BD,,,
6770001,12/03/2018,BCA/792/177556,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170441TO444,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1992844,1594275.2,398568.8,06/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3145959,27/02/2018,RES/20170442,,,INSNF6,USD,346020,H10792102367,,,BD,,,
6770001,12/03/2018,BCA/792/177556,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170441TO444,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1992844,1594275.2,398568.8,06/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3190536,28/02/2018,RES/20170443,,,INSNF6,USD,413960,H10792102367,,,BD,,,
6770001,12/03/2018,BCA/792/177556,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170441TO444,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1992844,1594275.2,398568.8,06/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3190535,28/02/2018,RES/20170444,,,INSNF6,USD,672128,H10792102367,,,BD,,,
6770001,30/10/2017,BCA/792/175941,22/06/2017,033017070006,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170241,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,Y,558128,558128,446502.4,111625.6,24/11/2017,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,9324296,16/10/2017,RES/20170241,,,INSNF6,USD,558128,H10792102367,BSONBDDH,,BD,,NOW CLAIMING 80 % OF INV.AMT-USD 446-502.40,
6770001,07/11/2017,BCA/792/175987,22/06/2017,033017070006,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170256ANDRES/20170256A,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,Y,496676,496676,350188.8,146487.2,04/12/2017,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,9444892,23/10/2017,RES/20170256,,,INSNF6,USD,496676,H10792102367,BSONBDDH,,BD,,NOW CLAIMING 80 % OF INV.AMT-USD 350188.80/2ND SET NOW CLAIMING 80 % OF INV.AMT-USD 47152.00,
6770001,18/12/2017,BCA/792/177177,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170328/329/330,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,919658,735726.4,183931.6,12/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1332969,04/12/2017,RES/20170328,,,INSNF6,USD,35938,H10792102367,BSONBDDH,,BD,,,
6770001,18/12/2017,BCA/792/177177,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170328/329/330,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,919658,735726.4,183931.6,12/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1333745,04/12/2017,RES/20170329,,,INSNF6,USD,353488,H10792102367,BSONBDDH,,BD,,,
6770001,18/12/2017,BCA/792/177177,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170328/329/330,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,919658,735726.4,183931.6,12/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1338359,05/12/2017,RES/20170330,,,INSNF6,USD,530232,H10792102367,BSONBDDH,,BD,,,
6770001,19/12/2017,BCA/792/177187,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/201700314 -316 -317 -323,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1114558,891646.4,222911.6,13/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1273471,01/12/2017,RES/20170314,,,INSNF6,USD,293376,H10792102367,BSONBDDH,,BD,,,
6770001,19/12/2017,BCA/792/177187,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/201700314 -316 -317 -323,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1114558,891646.4,222911.6,13/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1273199,01/12/2017,RES/20170316,,,INSNF6,USD,143752,H10792102367,BSONBDDH,,BD,,,
6770001,19/12/2017,BCA/792/177187,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/201700314 -316 -317 -323,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1114558,891646.4,222911.6,13/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1276549,01/12/2017,RES/20170317,,,INSNF6,USD,497094,H10792102367,BSONBDDH,,BD,,,
6770001,19/12/2017,BCA/792/177187,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/201700314 -316 -317 -323,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1114558,891646.4,222911.6,13/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1276523,01/12/2017,RES/20170323,,,INSNF6,USD,180336,H10792102367,BSONBDDH,,BD,,,
6770001,17/10/2017,BCA/792/175853,22/06/2017,033017070006,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170210,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,Y,1221234,1221234,976987.2,244246.8,13/11/2017,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,8943740,27/09/2017,RES/20170210,,,INSNF6,USD,1221234,H10792102367,BSONBDDH,,BD,,NOW CLAIMING 80 % OF INV.AMT-USD 976987.20,
6770001,16/01/2018,BCA/792/177323,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170362/363,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,413960,331168,82792,12/02/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1841967,28/12/2017,RES/20170363,,,INSNF6,USD,18960,H10792102367,BSONBDDH,,BD,,,
6770001,16/01/2018,BCA/792/177323,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170362/363,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,413960,331168,82792,12/02/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1841963,28/12/2017,RES/20170362,,,INSNF6,USD,395000,H10792102367,BSONBDDH,,BD,,,
6770001,04/09/2017,BCA/792/175602,22/06/2017,033017070006,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170141,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,Y,1190728,1190728,952582.4,238145.6,19/09/2017,,25 After AWB/BL Date,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,8000028,14/08/2017,RES/20170141,,,INSNF6,USD,1190728,H10792102367,BSONBDDH,,BD,,INV.AMT-USD 1190728.00 CLAIMING 80% NOW,
6770001,18/12/2017,BLA/792/175041,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170328/329/330,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,735726.4,10100,725626.4,12/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,,,,,,,,,H10792102367,BSONBDDH,,BD,,REFER BCA-177177,
6770001,19/03/2018,BCA/792/177626,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170450/451,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,561448,0,561448,13/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3316277,07/03/2018,RES/20170450,,,INSNF6,USD,243320,H10792102367,,,BD,,,
6770001,19/03/2018,BCA/792/177626,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170450/451,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,561448,0,561448,13/04/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,3317857,07/03/2018,RES/20170451,,,INSNF6,USD,318128,H10792102367,,,BD,,,
6770001,30/10/2017,BCA/792/175940,22/06/2017,033017070006,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170240,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,Y,427560,427560,342048,85512,24/11/2017,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,9304533,14/10/2017,RES/20170240,,,INSNF6,USD,427560,H10792102367,BSONBDDH,,BD,,NOW CLAIMING 80 % OF INV.AMT-USD 342048.00,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170271,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170272,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170273,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170274,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170275,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170276,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187081,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170271 TO 277,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,35875,0,35875,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9644371,02/11/2017,RES/20170277,,,INSNF6,USD,5125,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187132,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700029/31/32/33,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1758050,1582215,175835,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9524378,27/10/2017,RES/91700031,,,INNSA1,USD,472520,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187132,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700029/31/32/33,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1758050,1582215,175835,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9524496,27/10/2017,RES/91700032,,,INNSA1,USD,472520,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187132,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700029/31/32/33,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1758050,1582215,175835,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9524479,27/10/2017,RES/91700033,,,INNSA1,USD,340490,H10792102367,,,,,,
6770001,02/05/2018,BCA/792/187132,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700029/31/32/33,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1758050,1582215,175835,02/05/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,9524563,27/10/2017,RES/91700029,,,INNSA1,USD,472520,H10792102367,,,,,,
6770001,25/01/2018,BCU/792/177367,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700022 - 23 - 26 - 27 - 28,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1702450,851195,851255,30/06/2018,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,8804609,21/09/2017,RES/91700023,,,INMAA1,USD,340490,H10792102367,,,,,,
6770001,25/01/2018,BCU/792/177367,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/91700022 - 23 - 26 - 27 - 28,,TOSHIBA TRANSMISSION AND DISTRIBUTION SYSTEMS VIETNAM LTD,USD,N,0,1702450,851195,851255,30/06/2018,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,VIETNAM,8804619,21/09/2017,RES/91700026,,,INMAA1,USD,340490,H10792102367,,,,,,
6770001,17/10/2017,BCU/792/175842,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170175,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,205980,0,205980,11/12/2017,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,8356545,31/08/2017,RES/20170175,,,INSNF6,USD,205980,H10792102367,,,,,,
6770001,14/09/2017,BCU/792/175674,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,res/20170147,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,29870,0,29870,23/10/2017,,30 Days Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,8067509,17/08/2017,RES/20170147,,,INSNF6,USD,29870,H10792102367,,,,,,
6770001,27/10/2017,BCU/792/175929,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170228,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,186750,0,186750,21/12/2017,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,9070476,04/10/2017,RES/20170228,,,INSNF6,USD,186750,H10792102367,,,,,,
6770001,17/10/2017,BCU/792/175845,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170180/185,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,206920,0,206920,11/12/2017,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,8472217,05/09/2017,RES/20170180,,,INKRI1,USD,177360,H10792102367,,,,,,
6770001,17/10/2017,BCU/792/175845,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170180/185,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,206920,0,206920,11/12/2017,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,8472206,05/09/2017,RES/20170185,,,INKRI1,USD,29560,H10792102367,,,,,,
6770001,13/04/2017,BCU/792/175026,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20160434,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,93160,0,93160,07/06/2017,,55 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,4828421,18/03/2017,RES/20160434,,,INSNF6,USD,93160,H10792102367,,,,,,
6770001,28/06/2017,BCU/792/175335,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170049,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,207000,0,207000,22/08/2017,,55 From AWB/BL Date,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,6426937,31/05/2017,RES/20170049,,,INSNF6,USD,207000,H10792102367,,,,,,
6770001,27/10/2017,BCU/792/175930,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170225,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,120155,0,120155,21/12/2017,,0 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,9070471,04/10/2017,RES/20170225,,,INSNF6,USD,120155,H10792102367,,,,,,
6770001,10/04/2017,BCU/792/175025,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20160430,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,89610,0,89610,04/06/2017,,55 Others,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,4752893,15/03/2017,RES/20160430,,,INSNF6,USD,89610,H10792102367,,,,,,
6770001,28/06/2017,BCU/792/175334,,,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170051,,THE KENYA POWER AND LIGHTING CO LTD,USD,N,0,138775,0,138775,22/08/2017,,55 From AWB/BL Date,MACHINE TOOLS- MACHINERY AND INSTRUMENT,KENYA,6427212,31/05/2017,RES/20170051,,,INSNF6,USD,138775,H10792102367,,,,,,
6770001,27/10/2017,BCU/792/175927,,,NESSTECH INSTRUMENTS PVT LTD,NIP/0266/2017-18,,NESS TECHNOLOGY M SDN BHD.,INR,N,0,75059.4,0,75059.4,05/01/2018,,90 From Invoice Date,MACHINE TOOLS- MACHINERY AND INSTRUMENT,MALAYSIA,9159541,09/10/2017,NIP/0266/2017-18,,,INBOM4,INR,75059.4,H10792101751,,,,,,
